                  pl_name,               hostname,sy_snum,sy_pnum, pl_orbsmax,pl_rade, pl_bmasse, st_teff, st_rad,     sy_dist
                 K2-186 b,                 K2-186,      1,      1,    unknown,  3.172,   unknown, 5784.00,   0.98, 330.7390000
                 K2-187 b,                 K2-187,      1,      4,    unknown,  1.200,   unknown, 5438.00,   0.83, 330.9160000
                 K2-187 c,                 K2-187,      1,      4,    unknown,  1.400,   unknown, 5438.00,   0.83, 330.9160000
                 K2-187 d,                 K2-187,      1,      4,    unknown,  2.400,   unknown, 5438.00,   0.83, 330.9160000
                 K2-187 e,                 K2-187,      1,      4,    unknown,  1.900,   unknown, 5438.00,   0.83, 330.9160000
                 K2-188 b,                 K2-188,      1,      2,   0.028900,  1.350,   unknown, 5977.00,   1.19, 446.8210000
                 K2-188 c,                 K2-188,      1,      2,   0.078500,  2.830,   unknown, 5977.00,   1.19, 446.8210000
                 K2-189 b,                 K2-189,      1,      2,   0.036100,  1.520,   unknown, 5519.00,   0.87, 242.1130000
                 K2-189 c,                 K2-189,      1,      2,   0.068000,  2.500,   unknown, 5519.00,   0.87, 242.1130000
                  K2-19 b,                  K2-19,      1,      3,    unknown,  7.000,  32.40000, 5322.00,   0.82, 289.8270000
                  K2-19 c,                  K2-19,      1,      3,    unknown,  4.100,  10.80000, 5322.00,   0.82, 289.8270000
                  K2-19 d,                  K2-19,      1,      3,    unknown,  1.110,  10.00000, 5322.00,   0.82, 289.8270000
                 K2-190 b,                 K2-190,      1,      2,    unknown,  1.357,   unknown, 5631.00,   0.91, 160.6790000
                 K2-190 c,                 K2-190,      1,      2,    unknown,  1.093,   unknown, 5631.00,   0.91, 160.6790000
                 K2-191 b,                 K2-191,      1,      1,    unknown,  1.579,   unknown, 5176.00,   0.84, 287.1880000
                 K2-192 b,                 K2-192,      1,      1,   0.049000,  1.520,   unknown, 5222.00,   0.81, 221.7530000
                 K2-193 b,                 K2-193,      1,      1,   0.118400,  3.950,   unknown, 5817.00,   0.98, 411.9230000
                 K2-194 b,                 K2-194,      1,      1,    unknown,  3.642,   unknown, 5979.00,   1.28, 629.5100000
                 K2-195 b,                 K2-195,      1,      2,   0.120800,  3.130,   unknown, 5713.00,   0.99, 315.0140000
                 K2-195 c,                 K2-195,      1,      2,    unknown,  2.576,   unknown, 5712.00,   0.91, 315.0140000
                 K2-196 b,                 K2-196,      1,      1,    unknown,  3.600,   unknown, 6045.00,   1.54, 584.8770000
                 K2-197 b,                 K2-197,      1,      1,   0.080600,  2.560,   unknown, 5667.00,   0.93, 247.6370000
                 K2-198 b,                 K2-198,      1,      3,    unknown,  4.189,   unknown, 5212.90,   0.76, 110.5670000
                 K2-198 c,                 K2-198,      1,      3,    unknown,  1.423,   unknown, 5212.90,   0.76, 110.5670000
                 K2-198 d,                 K2-198,      1,      3,    unknown,  2.438,   unknown, 5212.90,   0.76, 110.5670000
                 K2-199 b,                 K2-199,      1,      2,   0.038200,  1.730,   6.90000, 4491.00,   0.68, 107.5180000
                 K2-199 c,                 K2-199,      1,      2,   0.066200,  2.850,  12.40000, 4491.00,   0.68, 107.5180000
                 K2-200 b,                 K2-200,      1,      1,    unknown,  1.364,   unknown, 5233.00,   0.79, 184.1310000
                 K2-201 b,                 K2-201,      1,      2,    unknown,  1.400,   unknown, 5507.00,   0.88, 197.9320000
                 K2-201 c,                 K2-201,      1,      2,    unknown,  3.286,   unknown, 5507.00,   0.88, 197.9320000
                 K2-202 b,                 K2-202,      1,      1,    unknown,  2.302,   unknown, 5491.00,   0.91, 300.3970000
                 K2-203 b,                 K2-203,      1,      1,    unknown,  1.371,   unknown, 5000.00,   0.76, 166.1470000
                 K2-204 b,                 K2-204,      1,      1,    unknown,  3.046,   unknown, 5755.00,   1.18, 577.2350000
                 K2-205 b,                 K2-205,      1,      1,    unknown,  1.996,   unknown, 5890.00,   1.08, 405.3010000
                 K2-206 b,                 K2-206,      1,      1,    unknown,  2.795,   unknown, 5043.00,   0.76, 244.4430000
                 K2-207 b,                 K2-207,      1,      1,    unknown,  2.606,   unknown, 5522.00,   0.93, 363.0640000
                 K2-208 b,                 K2-208,      1,      1,    unknown,  1.679,   unknown, 5582.00,   0.86, 256.8870000
                 K2-209 b,                 K2-209,      1,      1,    unknown,  0.869,   unknown, 4720.00,   0.71,  76.4986000
                  K2-21 b,                  K2-21,      1,      2,   0.076000,  1.840,   unknown, 4222.06,   0.65,  83.6448000
                  K2-21 c,                  K2-21,      1,      2,   0.107000,  2.490,   unknown, 4222.06,   0.65,  83.6448000
                 K2-210 b,                 K2-210,      1,      1,    unknown,  0.860,   unknown, 5500.00,   0.89, 176.5100000
                 K2-211 b,                 K2-211,      1,      1,    unknown,  1.300,   unknown, 5360.00,   0.79, 272.2970000
                 K2-212 b,                 K2-212,      1,      1,   0.078500,  2.520,   unknown, 4272.00,   0.65, 109.2180000
                 K2-213 b,                 K2-213,      1,      1,    unknown,  1.514,   unknown, 5794.00,   1.20, 389.7020000
                 K2-214 b,                 K2-214,      1,      1,   0.083400,  2.430,   unknown, 5854.00,   1.27, 300.6400000
                 K2-215 b,                 K2-215,      1,      1,    unknown,  2.124,   unknown, 5704.00,   0.97, 403.9640000
                 K2-216 b,                 K2-216,      1,      1,   0.028000,  1.750,   8.00000, 4503.00,   0.72, 115.4610000
                 K2-217 b,                 K2-217,      1,      1,    unknown,  3.579,   unknown, 5967.00,   1.33, 381.8780000
                 K2-218 b,                 K2-218,      1,      1,    unknown,  2.569,   unknown, 5757.00,   1.01, 394.0830000
                 K2-219 b,                 K2-219,      1,      3,    unknown,  1.348,   unknown, 5753.00,   1.19, 325.4000000
                 K2-219 c,                 K2-219,      1,      3,    unknown,  1.438,   unknown, 5753.00,   1.19, 325.4000000
                 K2-219 d,                 K2-219,      1,      3,    unknown,  2.576,   unknown, 5753.00,   1.19, 325.4000000
                 K2-220 b,                 K2-220,      1,      1,   0.110400,  2.390,   unknown, 5660.00,   1.02, 233.5140000
                 K2-221 b,                 K2-221,      1,      1,    unknown,  1.679,   unknown, 5716.00,   0.95, 318.8100000
                 K2-222 b,                 K2-222,      1,      1,   0.121100,  2.390,   unknown, 6058.00,   1.09, 101.3210000
                 K2-223 b,                 K2-223,      1,      2,    unknown,  0.890,   unknown, 5859.00,   1.00, 198.6040000
                 K2-223 c,                 K2-223,      1,      2,    unknown,  1.500,   unknown, 5859.00,   1.00, 198.6040000
                 K2-224 b,                 K2-224,      1,      2,   0.051600,  1.560,   unknown, 5620.00,   0.84, 275.2550000
                 K2-224 c,                 K2-224,      1,      2,   0.088600,  2.410,   unknown, 5620.00,   0.84, 275.2550000
                 K2-225 b,                 K2-225,      1,      1,   0.134000,  3.490,   unknown, 5742.00,   1.70, 357.7780000
                 K2-226 b,                 K2-226,      1,      1,   0.041300,  1.540,   unknown, 5424.00,   0.91, 211.2650000
                 K2-227 b,                 K2-227,      1,      1,    unknown,  1.666,   unknown, 5673.00,   0.89, 187.2340000
                 K2-228 b,                 K2-228,      1,      1,   0.033800,  1.210,   unknown, 4715.00,   0.65, 129.4600000
                 K2-229 b,                 K2-229,      1,      2,    unknown,  1.000,   unknown, 5315.00,   0.79, 102.5640000
                 K2-229 c,                 K2-229,      1,      2,   0.076900,  2.030,   unknown, 5315.00,   0.79, 102.5640000
                 K2-230 b,                 K2-230,      1,      1,   0.040900,  1.960,   unknown, 5945.00,   1.39, 540.7730000
                 K2-231 b,                 K2-231,      1,      1,    unknown,  2.500,   unknown, 5695.00,   0.95, 321.2150000
                 K2-232 b,                 K2-232,      1,      1,   0.103560, 11.209, 126.49634, 6154.00,   1.16, 130.7200000
                 K2-233 b,                 K2-233,      1,      3,   0.033080,  1.343,  11.26000, 5033.00,   0.71,  67.5062000
                 K2-233 c,                 K2-233,      1,      3,   0.066660,  1.281,  12.81000, 5033.00,   0.71,  67.5062000
                 K2-233 d,                 K2-233,      1,      3,   0.152240,  2.358,  21.14000, 5033.00,   0.71,  67.5062000
                 K2-237 b,                 K2-237,      1,      1,   0.035580, 16.197, 433.20012, 6360.00,   1.26, 314.9950000
                 K2-238 b,                 K2-238,      1,      1,   0.046000, 14.572, 273.33380, 5630.00,   1.59, 537.9630000
                  K2-24 b,                  K2-24,      1,      2,    unknown,  5.400,  19.00000, 5625.00,   1.16, 170.5620000
                  K2-24 c,                  K2-24,      1,      2,    unknown,  7.500,  15.40000, 5625.00,   1.16, 170.5620000
                 K2-241 b,                 K2-241,      1,      1,   0.156700,  2.550,   unknown, 5262.00,   0.75, 149.4640000
                 K2-243 b,                 K2-243,      1,      2,   0.108700,  2.170,   unknown, 6570.00,   1.39, 266.8640000
                 K2-243 c,                 K2-243,      1,      2,   0.181700,  2.010,   unknown, 6570.00,   1.39, 266.8640000
                 K2-244 b,                 K2-244,      1,      1,   0.141800,  1.750,   unknown, 5677.00,   0.92, 212.9020000
                 K2-245 b,                 K2-245,      1,      1,   0.095900,  4.340,   unknown, 5793.00,   1.25, 456.0640000
                 K2-246 b,                 K2-246,      1,      1,   0.060200,  3.490,   unknown, 5610.00,   0.94, 703.6160000
                 K2-247 b,                 K2-247,      1,      2,   0.030400,  2.120,   unknown, 4667.00,   0.69, 258.1130000
                 K2-247 c,                 K2-247,      1,      2,   0.061500,  2.190,   unknown, 4667.00,   0.69, 258.1130000
                 K2-248 b,                 K2-248,      1,      1,   0.069900,  2.570,   unknown, 5528.00,   0.92, 406.2540000
                 K2-249 b,                 K2-249,      1,      1,   0.115100,  2.790,   unknown, 6504.00,   1.57, 521.7160000
                 K2-250 b,                 K2-250,      1,      1,   0.045900,  2.440,   unknown, 5172.00,   0.81, 414.7080000
                 K2-252 b,                 K2-252,      1,      1,   0.104100,  1.740,   unknown, 5152.00,   0.82, 228.8390000
                 K2-253 b,                 K2-253,      1,      1,   0.050600, 12.670,   unknown, 6027.00,   1.10, 876.5650000
                 K2-254 b,                 K2-254,      1,      2,   0.044800,  1.630,   unknown, 4629.00,   0.67, 227.7750000
                 K2-254 c,                 K2-254,      1,      2,   0.092300,  2.190,   unknown, 4629.00,   0.67, 227.7750000
                 K2-255 b,                 K2-255,      1,      1,   0.027400,  2.900,   unknown, 4676.00,   0.69, 191.6080000
                 K2-256 b,                 K2-256,      1,      1,   0.057800,  2.630,   unknown, 5219.00,   0.78, 564.6930000
                 K2-258 b,                 K2-258,      1,      1,   0.149000,  3.000,   unknown, 6351.00,   1.31, 661.8730000
                 K2-259 b,                 K2-259,      1,      1,   0.127100,  2.320,   unknown, 6059.00,   1.13, 416.4570000
                 K2-260 b,                 K2-260,      1,      1,   0.040400, 17.396, 451.31860, 6367.00,   1.69, 663.8340000
                 K2-261 b,                 K2-261,      1,      1,   0.103400,  9.528,  59.75174, 5445.00,   1.64, 213.2830000
                 K2-263 b,                 K2-263,      1,      1,   0.257300,  2.410,  14.80000, 5368.00,   0.85, 162.4810000
                 K2-265 b,                 K2-265,      2,      1,   0.033760,  1.710,   6.54000, 5477.00,   0.98, 138.6710000
                 K2-266 b,                 K2-266,      2,      4,   0.013060,  3.300,  11.26782, 4285.00,   0.70,  77.5586000
                 K2-266 c,                 K2-266,      2,      4,   0.067900,  0.705,   0.29013, 4285.00,   0.70,  77.5586000
                 K2-266 d,                 K2-266,      2,      4,   0.103500,  2.930,   8.90000, 4285.00,   0.70,  77.5586000
                 K2-266 e,                 K2-266,      2,      4,   0.124900,  2.730,  14.30000, 4285.00,   0.70,  77.5586000
                 K2-268 b,                 K2-268,      1,      5,    unknown,  1.500,   unknown, 5106.00,   0.78, 327.7830000
                 K2-268 c,                 K2-268,      1,      5,    unknown,  2.690,   unknown, 5106.00,   0.78, 327.7830000
                 K2-268 d,                 K2-268,      1,      5,    unknown,  1.490,   unknown, 5106.00,   0.78, 327.7830000
                 K2-268 e,                 K2-268,      1,      5,    unknown,  1.330,   unknown, 5106.00,   0.78, 327.7830000
                 K2-268 f,                 K2-268,      1,      5,    unknown,  2.230,   unknown, 5106.00,   0.78, 327.7830000
                 K2-269 b,                 K2-269,      1,      1,   0.053100,  1.570,   unknown, 6209.00,   1.45, 360.7600000
                  K2-27 b,                  K2-27,      3,      1,   0.067020,  4.480,  30.90000, 5248.00,   0.89, 249.6450000
                 K2-270 b,                 K2-270,      1,      2,   0.024700,  1.380,   unknown, 4877.00,   0.77, 280.5180000
                 K2-270 c,                 K2-270,      1,      2,   0.049700,  2.950,   unknown, 4877.00,   0.77, 280.5180000
                 K2-271 b,                 K2-271,      1,      1,   0.077000,  7.280,   unknown, 5644.00,   0.99, 564.4540000
                 K2-272 b,                 K2-272,      1,      1,   0.100700,  3.130,   unknown, 5397.00,   0.83, 423.0650000
                 K2-273 b,                 K2-273,      1,      1,   0.072900,  3.050,   unknown, 5161.00,   0.85, 308.1050000
                 K2-274 b,                 K2-274,      1,      1,   0.096400,  2.080,   unknown, 5044.00,   0.70, 228.3270000
                 K2-275 b,                 K2-275,      1,      2,   0.027700,  2.340,   unknown, 4841.00,   0.69, 123.4380000
                 K2-275 c,                 K2-275,      1,      2,   0.088100,  2.210,   unknown, 4841.00,   0.69, 123.4380000
                 K2-276 b,                 K2-276,      1,      1,   0.129100,  3.770,   unknown, 5139.00,   0.85, 488.1520000
                 K2-277 b,                 K2-277,      1,      1,   0.067500,  2.070,   unknown, 5741.00,   0.97, 113.1230000
                 K2-278 b,                 K2-278,      1,      1,   0.048800,  2.980,   unknown, 6747.00,   1.61, 786.4390000
                 K2-279 b,                 K2-279,      1,      1,   0.067000,  1.210,   unknown, 5558.00,   0.86, 182.9830000
                 K2-280 b,                 K2-280,      1,      1,   0.146100,  7.500,  37.10000, 5500.00,   1.28, 391.5370000
                 K2-281 b,                 K2-281,      1,      1,   0.077300,  8.180,   unknown, 4812.00,   0.76, 458.1390000
                 K2-282 b,                 K2-282,      1,      2,    unknown,  2.500,   unknown, 5499.00,   1.00, 496.2890000
                 K2-283 b,                 K2-283,      1,      1,   0.029100,  3.520,   unknown, 5060.00,   0.82, 402.9150000
                 K2-284 b,                 K2-284,      1,      1,   0.047710,  2.780,   unknown, 4140.00,   0.61, 107.2720000
                 K2-285 b,                 K2-285,      1,      4,   0.038170,  2.590,   9.68000, 4975.00,   0.79, 154.9610000
                 K2-285 c,                 K2-285,      1,      4,   0.082400,  3.530,  15.68000, 4975.00,   0.79, 154.9610000
                 K2-285 d,                 K2-285,      1,      4,   0.117800,  2.480,   6.50000, 4975.00,   0.79, 154.9610000
                 K2-285 e,                 K2-285,      1,      4,   0.180410,  1.950,  10.70000, 4975.00,   0.79, 154.9610000
                 K2-287 b,                 K2-287,      1,      1,   0.120600,  9.494, 100.11645, 5695.00,   1.07, 158.3350000
                 K2-289 b,                 K2-289,      1,      1,   0.107000,  9.100,   unknown, 5529.00,   1.02, 274.3000000
                  K2-29 b,                  K2-29,      2,      1,   0.042170, 13.339, 232.01590, 5358.00,   0.86, 178.4750000
                 K2-290 b,                 K2-290,      3,      2,   0.092300,  3.060,  10.90000, 6302.00,   1.51, 272.9090000
                 K2-290 c,                 K2-290,      3,      2,   0.305000, 11.276, 246.00042, 6302.00,   1.51, 272.9090000
                 K2-291 b,                 K2-291,      1,      1,   0.032610,  1.589,   6.49000, 5520.00,   0.90,  90.0562000
                 K2-292 b,                 K2-292,      1,      1,   0.130000,  2.630,  24.50000, 5725.00,   1.09, 114.2930000
                 K2-293 b,                 K2-293,      1,      1,    unknown,  2.450,   unknown, 5532.00,   0.95, 392.2510000
                 K2-294 b,                 K2-294,      1,      1,    unknown,  1.660,   unknown, 5612.00,   1.20, 373.0780000
                 K2-295 b,                 K2-295,      1,      1,   0.045100, 10.054, 106.47305, 4444.00,   0.70, 232.8010000
                  K2-30 b,                  K2-30,      1,      1,   0.048390, 11.646, 184.02357, 5425.00,   0.84, 333.0420000
                 K2-308 b,                 K2-308,      1,      1,    unknown,  9.916,   unknown, 6100.00,   1.24,1314.5300000
                  K2-31 b,                  K2-31,      2,      1,   0.022000, 11.882, 563.83042, 5280.00,   0.78, 110.5270000
                 K2-319 b,                 K2-319,      1,      1,   0.151600,  2.790,   unknown, 5440.00,   0.90, 209.0710000
                  K2-32 b,                  K2-32,      2,      4,   0.079500,  5.299,  15.00000, 5271.00,   0.86, 157.6820000
                  K2-32 c,                  K2-32,      2,      4,   0.138430,  3.134,   8.10000, 5271.00,   0.86, 157.6820000
                  K2-32 d,                  K2-32,      2,      4,   0.184220,  3.484,   6.70000, 5271.00,   0.86, 157.6820000
                  K2-32 e,                  K2-32,      2,      4,   0.048990,  1.212,   2.10000, 5271.00,   0.86, 157.6820000
                 K2-322 b,                 K2-322,      1,      1,   0.059400,  1.920,   unknown, 4141.00,   0.60, 123.4150000
                 K2-329 b,                 K2-329,      1,      1,   0.101600,  8.676,  82.63580, 5282.00,   0.82, 233.2370000
                 K2-330 b,                 K2-330,      1,      1,    unknown,  2.770,   unknown, 6232.00,   1.50, 160.1250000
                 K2-331 b,                 K2-331,      1,      2,    unknown,  1.790,   unknown, 5994.00,   1.06, 211.4300000
                 K2-331 c,                 K2-331,      1,      2,    unknown,  2.720,   unknown, 5994.00,   1.06, 211.4300000
                 K2-333 b,                 K2-333,      1,      1,    unknown,  6.180,   unknown, 5880.00,   1.22, 343.9900000
                 K2-334 b,                 K2-334,      1,      1,    unknown,  5.650,   unknown, 6502.00,   1.49, 371.8230000
                 K2-335 b,                 K2-335,      1,      1,    unknown,  2.210,   unknown, 6222.00,   1.33, 557.9930000
                 K2-336 b,                 K2-336,      1,      1,    unknown,  1.220,   unknown, 5424.00,   0.80, 239.2890000
                 K2-337 b,                 K2-337,      1,      1,    unknown,  2.620,   unknown, 5869.00,   1.32, 421.6360000
                 K2-338 b,                 K2-338,      1,      1,    unknown,  1.030,   unknown, 4558.00,   0.63, 156.9510000
                 K2-339 b,                 K2-339,      1,      1,    unknown,  1.920,   unknown, 4857.00,   0.72, 360.3600000
                  K2-34 b,                  K2-34,      1,      1,   0.044200, 13.750,   unknown, 6168.00,   1.42, 348.6460000
                 K2-340 b,                 K2-340,      1,      1,    unknown,  3.360,   unknown, 5532.00,   1.13, 738.1360000
                 K2-341 b,                 K2-341,      1,      1,    unknown,  3.210,   unknown, 5817.00,   1.16, 421.4080000
                 K2-342 b,                 K2-342,      1,      1,    unknown,  2.030,   unknown, 5920.00,   1.09, 208.3570000
                 K2-344 b,                 K2-344,      1,      1,    unknown,  1.590,   unknown, 4374.00,   0.49,  75.1691000
                 K2-346 b,                 K2-346,      1,      1,    unknown,  2.260,   unknown, 4801.00,   0.70, 105.5800000
                 K2-347 b,                 K2-347,      1,      1,    unknown,  2.410,   unknown, 4599.00,   0.63, 320.3360000
                 K2-348 b,                 K2-348,      1,      2,    unknown,  3.260,   unknown, 5077.00,   0.85, 201.8560000
                 K2-348 c,                 K2-348,      1,      2,    unknown,  2.670,   unknown, 5077.00,   0.85, 201.8560000
                 K2-349 b,                 K2-349,      1,      1,    unknown,  1.380,   unknown, 4385.00,   0.49, 453.5670000
                  K2-35 b,                  K2-35,      1,      2,   0.031000,  1.320,   unknown, 4402.71,   0.62, 252.5960000
                  K2-35 c,                  K2-35,      1,      2,   0.055000,  1.930,   unknown, 4402.71,   0.62, 252.5960000
                 K2-350 b,                 K2-350,      1,      2,    unknown,  1.540,   unknown, 5789.00,   1.04, 489.3680000
                 K2-350 c,                 K2-350,      1,      2,    unknown,  2.740,   unknown, 5789.00,   1.04, 489.3680000
                 K2-351 b,                 K2-351,      1,      1,    unknown,  2.540,   unknown, 5769.00,   1.05, 694.7340000
                 K2-352 b,                 K2-352,      1,      3,    unknown,  1.370,   unknown, 5791.00,   0.95, 176.0510000
                 K2-352 c,                 K2-352,      1,      3,    unknown,  1.920,   unknown, 5791.00,   0.95, 176.0510000
                 K2-352 d,                 K2-352,      1,      3,    unknown,  2.230,   unknown, 5791.00,   0.95, 176.0510000
                 K2-353 b,                 K2-353,      1,      1,    unknown,  5.550,   unknown, 5698.00,   0.99, 268.5150000
                 K2-355 b,                 K2-355,      1,      1,   0.063200,  2.250,   unknown, 5790.00,   0.92, 500.4970000
                 K2-356 b,                 K2-356,      1,      1,   0.159900,  2.290,   unknown, 5568.00,   0.86, 355.5400000
                 K2-357 b,                 K2-357,      1,      1,   0.145000,  3.720,   unknown, 5794.00,   1.00, 517.6870000
                 K2-358 b,                 K2-358,      1,      1,   0.086300,  2.680,   unknown, 5650.00,   0.91, 480.3070000
                  K2-36 b,                  K2-36,      1,      2,   0.022300,  1.430,   3.90000, 4916.00,   0.72, 109.7490000
                  K2-36 c,                  K2-36,      1,      2,   0.054000,  3.200,   7.80000, 4916.00,   0.72, 109.7490000
                 K2-365 b,                 K2-365,      1,      1,    unknown,  2.906,   unknown, 5561.00,   1.05, 187.2220000
                 K2-366 b,                 K2-366,      1,      1,    unknown,  2.359,   unknown, 5601.00,   0.94, 185.9470000
                 K2-367 b,                 K2-367,      1,      1,    unknown,  2.413,   unknown, 4348.00,   0.62, 176.9650000
                 K2-368 b,                 K2-368,      1,      3,    unknown,  1.332,   unknown, 4663.00,   0.66, 206.6080000
                 K2-368 c,                 K2-368,      1,      3,    unknown,  1.361,   unknown, 4663.00,   0.66, 206.6080000
                 K2-368 d,                 K2-368,      1,      3,    unknown,  1.948,   unknown, 4663.00,   0.66, 206.6080000
                 K2-369 b,                 K2-369,      1,      1,    unknown,  1.313,   unknown, 5682.00,   0.88, 185.5500000
                  K2-37 b,                  K2-37,      1,      3,   0.051100,  1.610,   unknown, 5413.00,   0.85, 179.9430000
                  K2-37 c,                  K2-37,      1,      3,   0.065400,  2.750,   unknown, 5413.00,   0.85, 179.9430000
                  K2-37 d,                  K2-37,      1,      3,   0.110300,  2.730,   unknown, 5413.00,   0.85, 179.9430000
                 K2-370 b,                 K2-370,      1,      1,    unknown,  3.207,   unknown, 5377.00,   0.97, 144.2020000
                 K2-371 b,                 K2-371,      1,      1,    unknown, 13.024,   unknown, 4925.00,   0.74, 442.8130000
                 K2-372 b,                 K2-372,      1,      1,    unknown,  2.945,   unknown, 5479.00,   0.92, 463.8800000
                 K2-373 b,                 K2-373,      1,      1,    unknown,  2.061,   unknown, 6138.00,   1.49, 229.5670000
                 K2-374 b,                 K2-374,      1,      2,    unknown,  1.593,   unknown, 5789.00,   0.91, 359.4390000
                 K2-374 c,                 K2-374,      1,      2,    unknown,  2.213,   unknown, 5789.00,   0.91, 359.4390000
                 K2-375 b,                 K2-375,      1,      1,    unknown,  2.243,   unknown, 5822.00,   1.54, 696.1000000
                 K2-376 b,                 K2-376,      1,      1,    unknown,  1.736,   unknown, 5937.00,   1.15, 161.6100000
                 K2-377 b,                 K2-377,      1,      1,    unknown,  1.693,   unknown, 4200.00,   0.69, 195.1490000
                 K2-378 b,                 K2-378,      1,      1,    unknown,  2.880,   unknown, 4823.00,   0.73, 687.9730000
                 K2-379 b,                 K2-379,      1,      1,    unknown,  2.181,   unknown, 4603.00,   0.75, 182.2070000
                  K2-38 b,                  K2-38,      1,      2,    unknown,  1.906,  19.06980, 5757.00,   1.38, 192.6900000
                  K2-38 c,                  K2-38,      1,      2,   0.096400,  2.420,   9.90000, 5757.00,   1.10, 192.6900000
                 K2-380 b,                 K2-380,      1,      1,    unknown,  2.729,   unknown, 5911.00,   1.32, 249.3030000
                 K2-381 b,                 K2-381,      1,      3,    unknown,  1.075,   unknown, 4473.00,   0.68, 145.7010000
                 K2-381 c,                 K2-381,      1,      3,    unknown,  2.000,   unknown, 4473.00,   0.68, 145.7010000
                 K2-381 d,                 K2-381,      1,      3,    unknown,  1.689,   unknown, 4473.00,   0.68, 145.7010000
                 K2-382 b,                 K2-382,      1,      1,    unknown,  2.072,   unknown, 5452.00,   0.81, 278.4120000
                 K2-383 b,                 K2-383,      1,      1,    unknown,  1.564,   unknown, 5129.00,   0.80, 203.7880000
                 K2-385 b,                 K2-385,      1,      1,    unknown,  1.539,   unknown, 4844.00,   0.76, 420.8190000
                 K2-386 b,                 K2-386,      1,      1,    unknown,  2.320,   unknown, 5749.00,   0.97, 428.7850000
                 K2-388 b,                 K2-388,      1,      1,    unknown,  3.660,   unknown, 5367.00,   0.90, 290.4950000
                 K2-389 b,                 K2-389,      1,      2,    unknown,  2.184,   unknown, 5782.00,   1.08, 259.2080000
                 K2-389 c,                 K2-389,      1,      2,    unknown,  2.040,   unknown, 5782.00,   1.08, 259.2080000
                  K2-39 b,                  K2-39,      1,      1,    unknown,  6.277,  28.60470, 4881.00,   2.97, 307.4700000
                 K2-390 b,                 K2-390,      1,      1,    unknown,  4.662,   unknown, 5558.00,   0.97, 456.1220000
                 K2-391 b,                 K2-391,      1,      1,    unknown,  1.371,   unknown, 5543.00,   0.57, 507.9400000
                 K2-392 b,                 K2-392,      1,      1,    unknown,  1.850,   unknown, 5726.00,   1.06, 406.9850000
                 K2-393 b,                 K2-393,      1,      1,    unknown,  2.352,   unknown, 5678.00,   1.07, 265.9140000
                 K2-394 b,                 K2-394,      1,      1,    unknown,  1.692,   unknown, 4938.00,   0.63,  98.0152000
                 K2-395 b,                 K2-395,      1,      2,    unknown,  2.597,   unknown, 5007.00,   0.78, 286.7270000
                 K2-395 c,                 K2-395,      1,      2,    unknown,  3.395,   unknown, 5007.00,   0.78, 286.7270000
                 K2-396 b,                 K2-396,      1,      2,    unknown,  1.579,   unknown, 5236.00,   0.92, 274.8640000
                 K2-396 c,                 K2-396,      1,      2,    unknown,  3.124,   unknown, 5236.00,   0.92, 274.8640000
                 K2-397 b,                 K2-397,      1,      1,    unknown,  2.417,   unknown, 5387.00,   0.97, 199.3540000
                 K2-398 b,                 K2-398,      1,      2,    unknown,  2.274,   unknown, 5946.00,   1.24, 606.9920000
                 K2-398 c,                 K2-398,      1,      2,    unknown,  5.098,   unknown, 5946.00,   1.24, 606.9920000
                 K2-399 b,                 K2-399,      1,      1,    unknown,  6.049,   unknown, 5690.00,   1.54, 515.4910000
                   K2-4 b,                   K2-4,      1,      1,   0.078000,  2.100,   unknown, 4014.73,   0.57, 231.8280000
                 K2-401 b,                 K2-401,      1,      1,    unknown,  2.262,   unknown, 4213.00,   0.68, 200.7270000
                 K2-402 b,                 K2-402,      1,      1,    unknown,  2.678,   unknown, 5716.00,   1.28, 523.0550000
                 K2-403 b,                 K2-403,      1,      1,    unknown,  5.333,   unknown, 5511.00,   0.89, 246.5990000
                 K2-405 b,                 K2-405,      1,      1,    unknown,  4.569,   unknown, 4927.00,   0.77, 197.2340000
                 K2-406 b,                 K2-406,      1,      1,    unknown,  4.602,   unknown, 5784.00,   0.96,  85.3751000
                 K2-407 b,                 K2-407,      1,      2,    unknown,  1.283,   unknown, 5563.00,   0.93, 218.3760000
                 K2-407 c,                 K2-407,      1,      2,    unknown,  1.360,   unknown, 5563.00,   0.93, 218.3760000
                 K2-408 b,                 K2-408,      1,      1,    unknown,  1.677,   unknown, 5335.00,   0.78, 162.3060000
                 K2-409 b,                 K2-409,      1,      1,    unknown,  2.482,   unknown, 5742.00,   1.23, 431.0310000
                  K2-42 b,                  K2-42,      1,      1,   0.061700,  2.150,   unknown, 4613.00,   0.64, 396.9130000
                  K2-44 b,                  K2-44,      1,      1,   0.060000,  2.433,   unknown, 5912.00,   1.58, 476.7030000
                  K2-45 b,                  K2-45,      1,      1,   0.022400,  6.710,   unknown, 4103.00,   0.45, 495.3170000
                  K2-46 b,                  K2-46,      1,      1,   0.138210,  2.050,   unknown, 6256.00,   1.29, 449.2370000
                  K2-47 b,                  K2-47,      1,      1,   0.177900,  1.890,   unknown, 5054.00,   0.76, 349.8810000
                  K2-48 b,                  K2-48,      1,      1,   0.134400,  2.240,   unknown, 4899.00,   0.73, 313.7640000
                  K2-49 b,                  K2-49,      1,      1,   0.030900,  1.930,   unknown, 4175.00,   0.45, 457.1250000
